"Date","Price","Open","High","Low","Vol.","Change %"
"04/09/2024","508.61","508.37","508.61","500.00","","0.05%"
"04/08/2024","508.37","503.36","508.87","499.50","","-0.10%"
"04/05/2024","508.87","509.01","509.01","499.50","","-0.03%"
"04/04/2024","509.01","509.01","509.44","499.50","","0.00%"
"04/03/2024","509.01","499.50","509.01","499.50","","1.64%"
"04/02/2024","500.82","502.47","502.56","500.78","","0.06%"
"04/01/2024","500.50","502.47","503.00","500.50","","-0.39%"
"03/29/2024","502.47","502.47","503.00","500.50","","0.00%"
"03/28/2024","502.47","502.40","503.66","500.00","","-0.19%"
"03/27/2024","503.41","508.29","508.29","500.50","","-0.96%"
"03/26/2024","508.29","502.48","508.64","501.50","","1.16%"
"03/25/2024","502.48","504.00","506.26","501.50","","-0.30%"
"03/22/2024","504.00","508.11","508.11","501.00","","-0.81%"
"03/21/2024","508.11","503.75","508.33","502.13","","0.87%"
"03/20/2024","503.75","502.80","503.75","501.50","","0.27%"
"03/19/2024","502.40","504.45","504.45","502.14","","-0.24%"
"03/18/2024","503.61","506.61","509.27","502.50","","-1.01%"
"03/15/2024","508.74","509.61","509.61","505.24","","-0.17%"
"03/14/2024","509.61","510.74","511.03","505.96","","-0.22%"
"03/13/2024","510.74","510.49","510.74","506.55","","0.05%"
"03/12/2024","510.49","511.49","511.49","507.46","","-0.20%"
"03/11/2024","511.49","511.37","511.53","509.17","","0.02%"
"03/08/2024","511.37","511.12","511.83","510.02","","0.05%"
"03/07/2024","511.12","512.23","512.79","508.50","","-0.22%"
"03/06/2024","512.23","513.86","514.32","511.50","","-0.32%"
"03/05/2024","513.86","513.86","514.34","512.25","","0.00%"
"03/04/2024","513.86","514.11","515.68","511.50","","-0.05%"
"03/01/2024","514.11","512.03","515.36","512.03","","0.41%"
"02/29/2024","512.03","511.99","515.13","511.99","","0.01%"
"02/28/2024","511.99","514.24","516.69","511.99","","-0.44%"
"02/27/2024","514.24","514.50","516.69","513.14","","-0.05%"
"02/26/2024","514.50","514.04","516.38","513.14","","0.09%"
"02/23/2024","514.04","514.50","516.38","513.39","","-0.09%"
"02/22/2024","514.50","514.75","516.35","512.87","","-0.05%"
"02/21/2024","514.75","513.38","516.30","512.87","","0.27%"
